id,is_active,tab_group,name,name_uk,name_ru,name_en
1,1,1,Тип сидіннь,Тип сидіннь,Тип сидіннь,Тип сидіннь
2,1,1,Колір сидіннь,Колір сидіннь,Колір сидіннь,Колір сидіннь
3,1,2,Товщина панелей,Товщина панелей,Товщина панелей,Товщина панелей
4,1,2,Колір панелей,Колір панелей,Колір панелей,Колір панелей
5,1,3,Тип вилки,Тип вилки,Тип вилки,Тип вилки
6,1,4,Тип амортизатора,Тип амортизатора,Тип амортизатора,Тип амортизатора
7,1,5,Тип коліс,Тип коліс,Тип коліс,Тип коліс
8,1,5,Колір коліс,Колір коліс,Колір коліс,Колір коліс
9,1,6,Тип гальм,Тип гальм,Тип гальм,Тип гальм
10,1,7,Акумулятор,Акумулятор,Акумулятор,Акумулятор
11,1,8,Контроллер,Контроллер,Контроллер,Контроллер
12,1,9,Мотор,Мотор,Мотор,Мотор
13,1,10,Опції,Опції,Опції,Опції
14,1,11,Тип вилки,Тип вилки,Тип вилки,Тип вилки
15,1,12,Тип коліс,Тип коліс,Тип коліс,Тип коліс
16,1,12,Колір коліс,Колір коліс,Колір коліс,Колір коліс
17,1,13,Тип гальм,Тип гальм,Тип гальм,Тип гальм
18,1,14,Аккумулятор,Аккумулятор,Аккумулятор,Аккумулятор
19,1,15,Контроллер,Контроллер,Контроллер,Контроллер
20,1,16,Мотор,Мотор,Мотор,Мотор
21,1,17,Опції,Опції,Опції,Опції
22,1,18,Тип вилки,Тип вилки,Тип вилки,Тип вилки
23,1,19,Тип амортизатора,Тип амортизатора,Тип амортизатора,Тип амортизатора
24,1,20,Тип коліс,Тип коліс,Тип коліс,Тип коліс
25,1,20,Колір коліс,Колір коліс,Колір коліс,Колір коліс
26,1,21,Тип гальм,Тип гальм,Тип гальм,Тип гальм
27,1,22,Мотор,Мотор,Мотор,Мотор
28,1,23,Зірка задня,Зірка задня,Зірка задня,Зірка задня
29,1,24,Опції,Опції,Опції,Опції
30,1,25,Тип коліс,Тип коліс,Тип коліс,Тип коліс
31,1,25,Колір коліс,Колір коліс,Колір коліс,Колір коліс
32,1,26,Опції,Опції,Опції,Опції
